SCHOOL CODE,COUNTY,PUBLIC/  PRIVATE,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,UTD_NUM,UTD_PCT,PME_NUM,PME_PCT,PBE_NUM,PBE_PCT,REPORTED
6967483,ALAMEDA,PRIVATE,,FREMONT,PRINCE OF PEACE LUTHERAN SCHOOL, ,,,,,,,N
7077548,ALAMEDA,PRIVATE,,FREMONT,SENECA FAMILY OF AGENCIES - PATHFINDER ACADEMY,47,46,98,0,0,1,2,Y
6972996,ALAMEDA,PRIVATE,,FREMONT,ST. JOSEPH ELEMENTARY,36,36,100,0,0,0,0,Y
6206023,ALAMEDA,PRIVATE,,FREMONT,STRATFORD SCHOOL,31,31,100,0,0,0,0,Y
6965909,ALAMEDA,PRIVATE,,HAYWARD,ALL SAINTS CATHOLIC SCHOOL,33,32,97,0,0,1,3,Y
6141212,ALAMEDA,PRIVATE,,HAYWARD,KINGDOM BUILDER CHRISTIAN PRIVATE SCHOOL, ,,,,,,,N
6965917,ALAMEDA,PRIVATE,,HAYWARD,SAINT CLEMENT CATHOLIC,31,31,100,0,0,0,0,Y
6972871,ALAMEDA,PRIVATE,,HAYWARD,ST. BEDE CATHOLIC SCHOOL,24,24,100,0,0,0,0,Y
6972970,ALAMEDA,PRIVATE,,HAYWARD,ST. JOACHIM'S ELEMENTARY,35,35,100,0,0,0,0,Y
6967525,ALAMEDA,PRIVATE,,LIVERMORE,ST. MICHAEL ELEMENTARY,31,25,81,0,0,6,19,Y
6900773,ALAMEDA,PRIVATE,,LIVERMORE,VALLEY MONTESSORI SCHOOL,34,33,97,0,0,1,3,Y
7055411,ALAMEDA,PRIVATE,,NEWARK,CHALLENGER-ARDENWOOD,51,51,100,0,0,0,0,Y
6972921,ALAMEDA,PRIVATE,,NEWARK,ST. EDWARD PARISH,35,34,97,0,0,1,3,Y
6928725,ALAMEDA,PRIVATE,,OAKLAND,BEACON SCHOOL,18,18,100,0,0,0,0,Y
6967475,ALAMEDA,PRIVATE,,OAKLAND,BENTLEY,43,41,95,0,0,2,5,Y
6143077,ALAMEDA,PRIVATE,,OAKLAND,E.M. UNIVERSITY OF SCIENCE & TECHNOLOGY, ,,,,,,,N
6143101,ALAMEDA,PRIVATE,,OAKLAND,ELIJAH'S UNIVERSITY FOR SELF-DEVELOPMENT, ,,,,,,,N
6932925,ALAMEDA,PRIVATE,,OAKLAND,HEAD-ROYCE SCHOOL,92,90,98,1,1,1,1,Y
6143382,ALAMEDA,PRIVATE,,OAKLAND,IQRAA EDUCATIONAL ACADEMY & SERVICES, ,,,,,,,N
7099518,ALAMEDA,PRIVATE,,OAKLAND,JULIA MORGAN SCHOOL FOR GIRLS,62,60,97,0,0,2,3,Y
7054018,ALAMEDA,PRIVATE,,OAKLAND,NORTHERN LIGHT SCHOOL,18,17,94,0,0,1,6,Y
7081524,ALAMEDA,PRIVATE,,OAKLAND,OAKLAND HEBREW DAY,15,15,100,0,0,0,0,Y
6205629,ALAMEDA,PRIVATE,,OAKLAND,PACIFIC BOYCHOIR ACADEMY,15,14,93,0,0,1,7,Y
6998470,ALAMEDA,PRIVATE,,OAKLAND,PARK DAY, ,,,,,,,N
6994727,ALAMEDA,PRIVATE,,OAKLAND,RASKOB LEARNING INSTITUTE AND DAY SCHOOL,16,16,100,0,0,0,0,Y
6995542,ALAMEDA,PRIVATE,,OAKLAND,REDWOOD DAY SCHOOL,44,35,80,3,7,6,14,Y
6972962,ALAMEDA,PRIVATE,,OAKLAND,SAINT JARLATH SCHOOL,18,18,100,0,0,0,0,Y
6973010,ALAMEDA,PRIVATE,,OAKLAND,SAINT LEO THE GREAT SCHOOL,33,32,97,0,0,1,3,Y
6967517,ALAMEDA,PRIVATE,,OAKLAND,ST. ANTHONY SCHOOL,21,21,100,0,0,0,0,Y
6972939,ALAMEDA,PRIVATE,,OAKLAND,ST. ELIZABETH ELEMENTARY,40,40,100,0,0,0,0,Y
6973002,ALAMEDA,PRIVATE,,OAKLAND,ST. LAWRENCE O'TOOLE ELEMENTARY,20,19,95,0,0,1,5,Y
6967491,ALAMEDA,PRIVATE,,OAKLAND,ST. MARTIN DE PORRES,15,15,100,0,0,0,0,Y
6960694,ALAMEDA,PRIVATE,,OAKLAND,ST. PAUL'S EPISCOPAL,46,45,98,0,0,1,2,Y
6967533,ALAMEDA,PRIVATE,,OAKLAND,ST. THERESA SCHOOL,32,32,100,0,0,0,0,Y
6972632,ALAMEDA,PRIVATE,,PIEDMONT,CORPUS CHRISTI ELEMENTARY,33,32,97,1,3,0,0,Y
6972574,ALAMEDA,PRIVATE,,SAN LEANDRO,ASSUMPTION,31,31,100,0,0,0,0,Y
6932800,ALAMEDA,PRIVATE,,SAN LEANDRO,CHINESE CHRISTIAN SCHOOLS SAN LEANDRO,21,21,100,0,0,0,0,Y
7072218,ALAMEDA,PRIVATE,,SAN LEANDRO,INTERNATIONAL CHRISTIAN SCHOOL, ,,,,,,,N
7072317,ALAMEDA,PRIVATE,,SAN LEANDRO,"PRINCIPLED ACADEMY, THE",10,6,60,0,0,4,40,Y
6972947,ALAMEDA,PRIVATE,,SAN LEANDRO,ST. FELICITAS CATHOLIC SCHOOL,34,34,100,0,0,0,0,Y
6970636,ALAMEDA,PRIVATE,,SAN LEANDRO,ST. LEANDER,26,26,100,0,0,0,0,Y
6201172,ALAMEDA,PRIVATE,,SAN LEANDRO,STARS HIGH SCHOOL, ,,,,,,,N
6998488,ALAMEDA,PRIVATE,,SAN LORENZO,REDWOOD CHRISTIAN MIDDLE SCHOOL AND HIGH SCHOOL,54,50,93,0,0,4,7,Y
6131239,ALAMEDA,PRIVATE,,SAN LORENZO,SHINING LIGHT CHRISTIAN ACADEMY, ,,,,,,,N
6970602,ALAMEDA,PRIVATE,,SAN LORENZO,ST. JOHN ELEMENTARY,27,27,100,0,0,0,0,Y
6138648,ALAMEDA,PRIVATE,,UNION CITY,MISSION HILLS MIDDLE SCHOOL, ,,,,,,,N
6200877,ALAMEDA,PRIVATE,,UNION CITY,NORTHSTAR SCHOOL,11,6,55,0,0,5,45,Y
6977862,ALAMEDA,PRIVATE,,UNION CITY,OUR LADY OF THE ROSARY,13,13,100,0,0,0,0,Y
7096225,ALAMEDA,PRIVATE,,UNION CITY,PURPLE LOTUS BUDDHIST SCHOOL, ,,,,,,,N
0330068,AMADOR,PUBLIC,AMADOR COUNTY OFFICE OF EDUCATION,JACKSON,AMADOR COUNTY SPECIAL EDUCATION,69,60,87,0,0,9,13,Y
6107395,AMADOR,PUBLIC,AMADOR COUNTY UNIFIED,JACKSON,IONE JUNIOR HIGH,117,112,96,1,1,4,3,Y
6107387,AMADOR,PUBLIC,AMADOR COUNTY UNIFIED,JACKSON,JACKSON JUNIOR HIGH,101,91,90,0,0,10,10,Y
6002919,BUTTE,PUBLIC,BANGOR UNION ELEMENTARY,BANGOR,BANGOR ELEMENTARY,13,13,100,0,0,0,0,Y
6002943,BUTTE,PUBLIC,BIGGS UNIFIED,BIGGS,BIGGS ELEMENTARY,46,38,83,8,17,0,0,Y
0114991,BUTTE,PUBLIC,BUTTE COUNTY OFFICE OF EDUCATION,CHICO,CORE BUTTE CHARTER,48,29,60,0,0,19,40,Y
0128256,BUTTE,PUBLIC,BUTTE COUNTY OFFICE OF EDUCATION,OROVILLE,CENTRAL MIDDLE - RISE,24,22,92,0,0,2,8,Y
6057129,BUTTE,PUBLIC,CHICO UNIFIED,CHICO,BIDWELL JUNIOR HIGH,320,309,97,0,0,11,3,Y
6119523,BUTTE,PUBLIC,CHICO UNIFIED,CHICO,BLUE OAK CHARTER,38,17,45,0,0,21,55,Y
6113773,BUTTE,PUBLIC,CHICO UNIFIED,CHICO,CHICO COUNTRY DAY,62,59,95,0,0,3,5,Y
6057137,BUTTE,PUBLIC,CHICO UNIFIED,CHICO,CHICO JUNIOR HIGH,319,298,93,0,0,21,7,Y
6116610,BUTTE,PUBLIC,CHICO UNIFIED,CHICO,MARSH (HARRY M.) JUNIOR HIGH,288,268,93,0,0,20,7,Y
0121475,BUTTE,PUBLIC,CHICO UNIFIED,CHICO,SHERWOOD MONTESSORI,11,10,91,0,0,1,9,Y
0123810,BUTTE,PUBLIC,CHICO UNIFIED,CHICO,WILDFLOWER OPEN CLASSROOM,12,6,50,0,0,6,50,Y
6105761,BUTTE,PUBLIC,DURHAM UNIFIED,DURHAM,DURHAM INTERMEDIATE,69,60,87,0,0,9,13,Y
6003131,BUTTE,PUBLIC,GOLDEN FEATHER UNION ELEMENTARY,OROVILLE,CONCOW ELEMENTARY,16,13,81,0,0,3,19,Y
6003164,BUTTE,PUBLIC,GRIDLEY UNIFIED,GRIDLEY,SYCAMORE MIDDLE,144,143,99,0,0,1,1,Y
6003198,BUTTE,PUBLIC,MANZANITA ELEMENTARY,GRIDLEY,MANZANITA ELEMENTARY,36,36,100,0,0,0,0,Y
6003230,BUTTE,PUBLIC,OROVILLE CITY ELEMENTARY,OROVILLE,CENTRAL MIDDLE,173,167,97,0,0,6,3,Y
0110072,BUTTE,PUBLIC,OROVILLE CITY ELEMENTARY,OROVILLE,ISHI HILLS MIDDLE,97,88,91,1,1,8,8,Y
6003297,BUTTE,PUBLIC,PALERMO UNION ELEMENTARY,PALERMO,PALERMO,145,140,97,0,0,5,3,Y
6105522,BUTTE,PUBLIC,PARADISE UNIFIED,MAGALIA,PINE RIDGE,74,67,91,0,0,7,9,Y
